ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,",Bogota , colombia",dir,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos,CausaConductorIDesc,CausaConductorIIDesc
Choque,Vehiculo, , , , ,0,0,KR 101-CL 83 02,",Bogota,Colombia","KR 101-CL 83 02,Bogota,Colombia",KR,101, , ,CL,83, , ,ENGATIVA,12/31/1899 10:30:00 PM,Interseccion,Normal,0,2,OTRA,DESOBEDECER SEÑALES
Atropello, , , , , ,0,0,CL 147-KR 7 02,",Bogota,Colombia","CL 147-KR 7 02,Bogota,Colombia",CL,147, , ,KR,7, , ,USAQUEN,12/31/1899 03:40:00 PM,Interseccion,Normal,0,1,DESOBEDECER SEÑALES, 
Choque,Vehiculo, , , , ,0,0,CL 19-KR 5 SE 02,",Bogota,Colombia","CL 19-KR 5 SE 02,Bogota,Colombia",CL,19, ,S,KR,5, ,E,SAN CRISTOBAL,12/31/1899 07:20:00 AM,Tramo de Via,Normal,0,0,OTRA, 
Choque,Vehiculo, , , , ,0,0,AC 80-KR 107 02,",Bogota,Colombia","AC 80-KR 107 02,Bogota,Colombia",AC,80, , ,KR,107, , ,ENGATIVA,12/31/1899 06:10:00 AM,Tramo de Via,Normal,0,0, ,TRANSITAR ENTRE VEHICULOS
Choque,Vehiculo, , , , ,0,0,TR 14-CL 48 S 05,",Bogota,Colombia","TR 14-CL 48 S 05,Bogota,Colombia",TR,14, , ,CL,48, ,S,RAFAEL URIBE URIBE,12/31/1899 05:00:00 PM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,TR 77-CL 84A 02,",Bogota,Colombia","TR 77-CL 84A 02,Bogota,Colombia",TR,77, , ,CL,84,A, ,ENGATIVA,12/31/1899 02:35:00 PM,Tramo de Via,Normal,0,0, ,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,KR 78B-CL 72 02,",Bogota,Colombia","KR 78B-CL 72 02,Bogota,Colombia",KR,78,B, ,CL,72, , ,ENGATIVA,12/31/1899 07:00:00 PM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-KR 8 32,",Bogota,Colombia","AV AVENIDA CIUDAD DE CALI-KR 8 32,Bogota,Colombia",AV,AVENIDA CIUDAD DE CALI, , ,KR,8, , ,KENNEDY,12/31/1899 10:40:00 AM,Tramo de Via,Normal,0,1, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,CL 13-KR 68D 76,",Bogota,Colombia","CL 13-KR 68D 76,Bogota,Colombia",CL,13, , ,KR,68,D, ,FONTIBON,12/31/1899 08:45:00 PM,Tramo de Via,Normal,0,0,ADELANTAR INVADIENDO CARRIL DEL MISMO SENTIDO EN ZIG-ZAG, 
Otro, , , ,2,Caida dentro del vehiculo,0,0,KR 24A-CL 22 S 02,",Bogota,Colombia","KR 24A-CL 22 S 02,Bogota,Colombia",KR,24,A, ,CL,22, ,S,ANTONIO NARIÑO,12/31/1899 08:30:00 PM,Interseccion,Normal,0,2,FRENAR BRUSCAMENTE, 
Choque,Vehiculo, , , , ,0,0,CL 68-KR 28B 02,",Bogota,Colombia","CL 68-KR 28B 02,Bogota,Colombia",CL,68, , ,KR,28,B, ,BARRIOS UNIDOS,12/31/1899 03:00:00 PM,Tramo de Via,Normal,0,0, ,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,CL 48C-KR 21 S 13,",Bogota,Colombia","CL 48C-KR 21 S 13,Bogota,Colombia",CL,48,C,S,KR,21, , ,TUNJUELITO,12/31/1899 08:50:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,KR 89-CL 66A 02,",Bogota,Colombia","KR 89-CL 66A 02,Bogota,Colombia",KR,89, , ,CL,66,A, ,ENGATIVA,12/31/1899 06:30:00 AM,Tramo de Via,Normal,0,1,NO UTILIZAR - GIRAR BRUSCAMENTE,ADELANTAR INVADIENDO VIA
Atropello, , , , , ,0,0,CL 22-KR 16 16,",Bogota,Colombia","CL 22-KR 16 16,Bogota,Colombia",CL,22, , ,KR,16, , ,LOS MARTIRES,12/31/1899 09:10:00 AM,Tramo de Via,Normal,0,1, , 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA LUIS CARLOS GALAN-KR 60 02,",Bogota,Colombia","AV AVENIDA LUIS CARLOS GALAN-KR 60 02,Bogota,Colombia",AV,AVENIDA LUIS CARLOS GALAN, , ,KR,60, , ,TEUSAQUILLO,12/31/1899 02:05:00 PM,Tramo de Via,Normal,0,0,OTRA, 
Choque,Vehiculo, , , , ,0,0,CL 69A-KR 17D S 12,",Bogota,Colombia","CL 69A-KR 17D S 12,Bogota,Colombia",CL,69,A,S,KR,17,D, ,CIUDAD BOLIVAR,12/31/1899 06:40:00 AM,Interseccion,Normal,0,2,DESOBEDECER SEÑALES,DESOBEDECER SEÑALES
Atropello, , , , , ,0,0,AK 80-CL 46 S 02,",Bogota,Colombia","AK 80-CL 46 S 02,Bogota,Colombia",AK,80, , ,CL,46, ,S,KENNEDY,12/31/1899 05:45:00 AM,Interseccion,Normal,1,0, , 
Choque,Vehiculo, , , , ,0,0,CL 51-KR 86 02,",Bogota,Colombia","CL 51-KR 86 02,Bogota,Colombia",CL,51, , ,KR,86, , ,ENGATIVA,12/31/1899 06:40:00 PM,Tramo de Via,Normal,0,1, ,TRANSITAR EN CONTRAVIA
Choque,Vehiculo, , , , ,0,0,KR 24-CL 4B 02,",Bogota,Colombia","KR 24-CL 4B 02,Bogota,Colombia",KR,24, , ,CL,4,B, ,LOS MARTIRES,12/31/1899 02:10:00 PM,Interseccion,Normal,0,2, ,TRANSPORTAR OTRA PERSONA O COSAS
Caida de ocupante, , , , , ,0,0,KR 24-CL 25 S 02,",Bogota,Colombia","KR 24-CL 25 S 02,Bogota,Colombia",KR,24, , ,CL,25, ,S,RAFAEL URIBE URIBE,12/31/1899 07:55:00 PM,Tramo de Via,Normal,0,1, , 
Choque,Vehiculo, , , , ,0,0,KR 19-CL 159 02,",Bogota,Colombia","KR 19-CL 159 02,Bogota,Colombia",KR,19, , ,CL,159, , ,USAQUEN,12/31/1899 03:20:00 PM,Tramo de Via,Normal,0,0,SEMÁFORO EN ROJO,SEMÁFORO EN ROJO
Choque,Vehiculo, , , , ,0,0,AK 45-CL 175 02,",Bogota,Colombia","AK 45-CL 175 02,Bogota,Colombia",AK,45, , ,CL,175, , ,USAQUEN,12/31/1899 07:00:00 AM,Tramo de Via,Normal,0,0, ,TRANSITAR ENTRE VEHICULOS
Choque,Vehiculo, , , , ,0,0,CL 73-KR 20A 02,",Bogota,Colombia","CL 73-KR 20A 02,Bogota,Colombia",CL,73, , ,KR,20,A, ,BARRIOS UNIDOS,12/31/1899 03:30:00 PM,Interseccion,Normal,0,0,DESOBEDECER SEÑALES, 
Choque,Vehiculo, , , , ,0,0,KR 72-CL 136 02,",Bogota,Colombia","KR 72-CL 136 02,Bogota,Colombia",KR,72, , ,CL,136, , ,SUBA,12/31/1899 08:00:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,CL 147-KR 7G 20,",Bogota,Colombia","CL 147-KR 7G 20,Bogota,Colombia",CL,147, , ,KR,7,G, ,USAQUEN,12/31/1899 10:30:00 AM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,AC 80-KR 96 02,",Bogota,Colombia","AC 80-KR 96 02,Bogota,Colombia",AC,80, , ,KR,96, , ,ENGATIVA,12/31/1899 04:45:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,KR 9-CL 134 02,",Bogota,Colombia","KR 9-CL 134 02,Bogota,Colombia",KR,9, , ,CL,134, , ,USAQUEN,12/31/1899 07:20:00 AM,Tramo de Via,Normal,0,0, ,TRANSITAR ENTRE VEHICULOS
Choque,Vehiculo, , , , ,0,0,AK 30-CL 71A 02,",Bogota,Colombia","AK 30-CL 71A 02,Bogota,Colombia",AK,30, , ,CL,71,A, ,BARRIOS UNIDOS,12/31/1899 08:10:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,AK 9-CL 117A 02,",Bogota,Colombia","AK 9-CL 117A 02,Bogota,Colombia",AK,9, , ,CL,117,A, ,USAQUEN,12/31/1899 10:10:00 PM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,KR 50-CL 63 02,",Bogota,Colombia","KR 50-CL 63 02,Bogota,Colombia",KR,50, , ,CL,63, , ,TEUSAQUILLO,12/31/1899 09:00:00 AM,Glorieta,Normal,0,0, ,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,KR 111C-CL 67 02,",Bogota,Colombia","KR 111C-CL 67 02,Bogota,Colombia",KR,111,C, ,CL,67, , ,ENGATIVA,12/31/1899 05:30:00 PM,Tramo de Via,Normal,0,0, ,ADELANTAR INVADIENDO VIA
Choque,Vehiculo, , , , ,0,0,AC 80-KR 68 02,",Bogota,Colombia","AC 80-KR 68 02,Bogota,Colombia",AC,80, , ,KR,68, , ,ENGATIVA,12/31/1899 10:45:00 AM,Lote o predio,Normal,0,0,REVERSO IMPRUDENTE, 
Choque,Vehiculo, , , , ,0,0,AK 30-CL 89 02,",Bogota,Colombia","AK 30-CL 89 02,Bogota,Colombia",AK,30, , ,CL,89, , ,BARRIOS UNIDOS,12/31/1899 05:40:00 PM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA DE LAS AMERICAS-KR 70B 09,",Bogota,Colombia","AV AVENIDA DE LAS AMERICAS-KR 70B 09,Bogota,Colombia",AV,AVENIDA DE LAS AMERICAS, , ,KR,70,B, ,KENNEDY,12/31/1899 07:10:00 AM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Atropello, , , , , ,0,0,KR 128-CL 17 15,",Bogota,Colombia","KR 128-CL 17 15,Bogota,Colombia",KR,128, , ,CL,17, , ,FONTIBON,12/31/1899 12:10:00 PM,Tramo de Via,Normal,0,1,ADELANTAR INVADIENDO VIA, 
Choque,Vehiculo, , , , ,0,0,KR 13-CL 58 49,",Bogota,Colombia","KR 13-CL 58 49,Bogota,Colombia",KR,13, , ,CL,58, , ,CHAPINERO,12/31/1899 07:30:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,AV AVENIDA DE LAS AMERICAS-KR 78B 55,",Bogota,Colombia","AV AVENIDA DE LAS AMERICAS-KR 78B 55,Bogota,Colombia",AV,AVENIDA DE LAS AMERICAS, , ,KR,78,B, ,KENNEDY,12/31/1899 08:30:00 AM,Tramo de Via,Normal,0,1,OTRA,OTRA
Choque,Vehiculo, , , , ,0,0,KR 14-CL 84 S 02,",Bogota,Colombia","KR 14-CL 84 S 02,Bogota,Colombia",KR,14, , ,CL,84, ,S,USME,12/31/1899 05:00:00 PM,Tramo de Via,Normal,0,0,OTRA,OTRA
Atropello, , , , , ,0,0,CL 32-KR 14 02,",Bogota,Colombia","CL 32-KR 14 02,Bogota,Colombia",CL,32, , ,KR,14, , ,TEUSAQUILLO,12/31/1899 11:40:00 AM,Tramo de Via,Normal,0,1,OTRA, 
Atropello, , , , , ,0,0,AV AVENIDA PRIMERO DE MAYO-KR 41B S 02,",Bogota,Colombia","AV AVENIDA PRIMERO DE MAYO-KR 41B S 02,Bogota,Colombia",AV,AVENIDA PRIMERO DE MAYO, , ,KR,41,B,S,KENNEDY,12/31/1899 10:40:00 PM,Tramo de Via,Normal,0,2,OTRA, 
Atropello, , , , , ,0,0,KR 19-CL 123 44,",Bogota,Colombia","KR 19-CL 123 44,Bogota,Colombia",KR,19, , ,CL,123, , ,USAQUEN,12/31/1899 07:30:00 PM,Tramo de Via,Normal,0,1,TRANSITAR ENTRE VEHICULOS, 
Choque,Vehiculo, , , , ,0,0,AK 7-CL 58 02,",Bogota,Colombia","AK 7-CL 58 02,Bogota,Colombia",AK,7, , ,CL,58, , ,CHAPINERO,12/31/1899 09:00:00 PM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,KR 27-CL 17 S 02,",Bogota,Colombia","KR 27-CL 17 S 02,Bogota,Colombia",KR,27, , ,CL,17, ,S,ANTONIO NARIÑO,12/31/1899 02:10:00 PM,Interseccion,Normal,0,0,DESOBEDECER SEÑALES,DESOBEDECER SEÑALES
Choque,Vehiculo, , , , ,0,0,KR 33-CL 31 S 47,",Bogota,Colombia","KR 33-CL 31 S 47,Bogota,Colombia",KR,33, , ,CL,31, ,S,TUNJUELITO,12/31/1899 11:15:00 AM,Interseccion,Normal,0,1,NO UTILIZAR - GIRAR BRUSCAMENTE,DESOBEDECER SEÑALES
Caida de ocupante, , , , , ,0,0,CL 51-KR 5F S 02,",Bogota,Colombia","CL 51-KR 5F S 02,Bogota,Colombia",CL,51, ,S,KR,5,F, ,USME,12/31/1899 12:02:00 PM,Tramo de Via,Normal,1,0, , 
Choque,Vehiculo, , , , ,0,0,KR 45-CL 190 02,",Bogota,Colombia","KR 45-CL 190 02,Bogota,Colombia",KR,45, , ,CL,190, , ,USAQUEN,12/31/1899 08:45:00 AM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,CL 76-KR 9 02,",Bogota,Colombia","CL 76-KR 9 02,Bogota,Colombia",CL,76, , ,KR,9, , ,CHAPINERO,12/31/1899 05:30:00 PM,Interseccion,Normal,0,0, ,NO UTILIZAR - GIRAR BRUSCAMENTE
Choque,Vehiculo, , , , ,0,0,AK 15-CL 122 50,",Bogota,Colombia","AK 15-CL 122 50,Bogota,Colombia",AK,15, , ,CL,122, , ,USAQUEN,12/31/1899 10:50:00 AM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,CL 24-KR 13 02,",Bogota,Colombia","CL 24-KR 13 02,Bogota,Colombia",CL,24, , ,KR,13, , ,SANTA FE,12/31/1899 04:00:00 AM,Interseccion,Normal,0,0,EXCESO DE VELOCIDAD,EXCESO DE VELOCIDAD
Choque,Vehiculo, , , , ,0,0,AK 45-CL 137A 03,",Bogota,Colombia","AK 45-CL 137A 03,Bogota,Colombia",AK,45, , ,CL,137,A, ,USAQUEN,12/31/1899 12:10:00 PM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,CL 26-KR 86D S 02,",Bogota,Colombia","CL 26-KR 86D S 02,Bogota,Colombia",CL,26, ,S,KR,86,D, ,KENNEDY,12/31/1899 01:30:00 PM,Tramo de Via,Normal,0,0, ,DESOBEDECER SEÑALES
Choque,Vehiculo, , , , ,0,0,CL 61-KR 18 02,",Bogota,Colombia","CL 61-KR 18 02,Bogota,Colombia",CL,61, , ,KR,18, , ,TEUSAQUILLO,12/31/1899 01:30:00 PM,Interseccion,Normal,0,1,DESOBEDECER SEÑALES, 
Choque,Vehiculo, , , , ,0,0,KR 13-CL 27 94,",Bogota,Colombia","KR 13-CL 27 94,Bogota,Colombia",KR,13, , ,CL,27, , ,SANTA FE,12/31/1899 12:20:00 PM,Tramo de Via,Normal,0,0,OTRA, 
Choque,Vehiculo, , , , ,0,0,CL 80-KR 118 02,",Bogota,Colombia","CL 80-KR 118 02,Bogota,Colombia",CL,80, , ,KR,118, , ,ENGATIVA,12/31/1899 07:00:00 AM,Tramo de Via,Normal,0,0, ,REVERSO IMPRUDENTE
Choque,Vehiculo, , , , ,0,0,CL 26-KR 48 02,",Bogota,Colombia","CL 26-KR 48 02,Bogota,Colombia",CL,26, , ,KR,48, , ,TEUSAQUILLO,12/31/1899 10:15:00 AM,Tramo de Via,Normal,0,0,OTRA,OTRA
Atropello, , , , , ,0,0,KR 33-CL 52F S 20,",Bogota,Colombia","KR 33-CL 52F S 20,Bogota,Colombia",KR,33, , ,CL,52,F,S,TUNJUELITO,12/31/1899 12:00:00 AM,Tramo de Via,Normal,0,1,OTRA, 
Choque,Vehiculo, , , , ,0,0,KR 105-CL 70 02,",Bogota,Colombia","KR 105-CL 70 02,Bogota,Colombia",KR,105, , ,CL,70, , ,ENGATIVA,12/31/1899 04:30:00 AM,Interseccion,Normal,0,0,OTRA,DESOBEDECER SEÑALES
Atropello, , , , , ,0,0,DG 51BIS-KR 32 S 95,",Bogota,Colombia","DG 51BIS-KR 32 S 95,Bogota,Colombia",DG,51, ,S,KR,32, , ,TUNJUELITO,12/31/1899 10:20:00 PM,Tramo de Via,Normal,0,1,OTRA, 
Choque,Vehiculo, , , , ,0,0,KR 100-CL 17A 02,",Bogota,Colombia","KR 100-CL 17A 02,Bogota,Colombia",KR,100, , ,CL,17,A, ,FONTIBON,12/31/1899 09:35:00 PM,Interseccion,Normal,0,1, ,TRANSITAR EN CONTRAVIA
Choque,Vehiculo, , , , ,0,0,CL 11-KR 13 S 02,",Bogota,Colombia","CL 11-KR 13 S 02,Bogota,Colombia",CL,11, ,S,KR,13, , ,ANTONIO NARIÑO,12/31/1899 08:10:00 AM,Tramo de Via,Normal,0,0, ,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,AV AVENIDA PRIMERO DE MAYO-KR 13 41,",Bogota,Colombia","AV AVENIDA PRIMERO DE MAYO-KR 13 41,Bogota,Colombia",AV,AVENIDA PRIMERO DE MAYO, , ,KR,13, , ,ANTONIO NARIÑO,12/31/1899 07:00:00 PM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,AC 17-KR 89 31,",Bogota,Colombia","AC 17-KR 89 31,Bogota,Colombia",AC,17, , ,KR,89, , ,FONTIBON,12/31/1899 06:25:00 AM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,CL 57R-KR 71B S 02,",Bogota,Colombia","CL 57R-KR 71B S 02,Bogota,Colombia",CL,57,R,S,KR,71,B, ,BOSA,12/31/1899 05:30:00 PM,Tramo de Via,Normal,0,0,APROVISIONAMIENTO INDEBIDO, 
Volcamiento, , , , , ,0,0,AV AVENIDA DE LAS AMERICAS-KR 81D 09,",Bogota,Colombia","AV AVENIDA DE LAS AMERICAS-KR 81D 09,Bogota,Colombia",AV,AVENIDA DE LAS AMERICAS, , ,KR,81,D, ,KENNEDY,12/31/1899 01:17:00 AM,Tramo de Via,Normal,1,0,OTRA, 
Choque,Vehiculo, , , , ,0,0,KR 24-CL 24 S 02,",Bogota,Colombia","KR 24-CL 24 S 02,Bogota,Colombia",KR,24, , ,CL,24, ,S,RAFAEL URIBE URIBE,12/31/1899 05:22:00 PM,Tramo de Via,Normal,0,1,ADELANTAR EN ZONA PROHIBIDA,ADELANTAR EN ZONA PROHIBIDA
Choque,Vehiculo, , , , ,0,0,AC 63-KR 68G 02,",Bogota,Colombia","AC 63-KR 68G 02,Bogota,Colombia",AC,63, , ,KR,68,G, ,ENGATIVA,12/31/1899 11:30:00 AM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,KR 60BBIS-CL 92A 02,",Bogota,Colombia","KR 60BBIS-CL 92A 02,Bogota,Colombia",KR,60,B, ,CL,92,A, ,BARRIOS UNIDOS,12/31/1899 09:40:00 AM,Tramo de Via,Normal,0,0, ,ADELANTAR INVADIENDO VIA
Choque,Vehiculo, , , , ,0,0,CL 31-KR 5A S 02,",Bogota,Colombia","CL 31-KR 5A S 02,Bogota,Colombia",CL,31, ,S,KR,5,A, ,SAN CRISTOBAL,12/31/1899 06:25:00 AM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,KR 27-CL 37 S 71,",Bogota,Colombia","KR 27-CL 37 S 71,Bogota,Colombia",KR,27, , ,CL,37, ,S,ANTONIO NARIÑO,12/31/1899 11:30:00 AM,Tramo de Via,Normal,0,2, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,CL 129-KR 55 02,",Bogota,Colombia","CL 129-KR 55 02,Bogota,Colombia",CL,129, , ,KR,55, , ,SUBA,12/31/1899 03:30:00 PM,Interseccion,Normal,0,0, ,NO RESPETAR PRELACIÓN
Atropello, , , , , ,0,0,TR 11B-CL 47 ES 60,",Bogota,Colombia","TR 11B-CL 47 ES 60,Bogota,Colombia",TR,11,B,E,CL,47, ,S,SAN CRISTOBAL,12/31/1899 01:00:00 PM,Tramo de Via,Normal,0,1, , 
Choque,Vehiculo, , , , ,0,0,CL 6-KR 38 02,",Bogota,Colombia","CL 6-KR 38 02,Bogota,Colombia",CL,6, , ,KR,38, , ,PUENTE ARANDA,12/31/1899 06:20:00 PM,Tramo de Via,Normal,0,2,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,CL 52-KR 24 02,",Bogota,Colombia","CL 52-KR 24 02,Bogota,Colombia",CL,52, , ,KR,24, , ,TEUSAQUILLO,12/31/1899 03:23:00 PM,Interseccion,Normal,0,2,DESOBEDECER SEÑALES, 
Atropello, , , , , ,0,0,AV AVENIDA CIUDAD DE CALI-CL 85 02,",Bogota,Colombia","AV AVENIDA CIUDAD DE CALI-CL 85 02,Bogota,Colombia",AV,AVENIDA CIUDAD DE CALI, , ,CL,85, , ,ENGATIVA,12/31/1899 07:30:00 AM,Tramo de Via,Normal,0,1, , 
Choque,Vehiculo, , , , ,0,0,KR 32-DG 52A S 02,",Bogota,Colombia","KR 32-DG 52A S 02,Bogota,Colombia",KR,32, , ,DG,52,A,S,TUNJUELITO,12/31/1899 06:50:00 AM,Interseccion,Normal,0,0, ,NO RESPETAR PRELACIÓN
Choque,Vehiculo, , , , ,0,0,AK 68-CL 40 S 02,",Bogota,Colombia","AK 68-CL 40 S 02,Bogota,Colombia",AK,68, , ,CL,40, ,S,PUENTE ARANDA,12/31/1899 04:00:00 AM,Interseccion,Normal,0,0, ,NO UTILIZAR - GIRAR BRUSCAMENTE
Choque,Vehiculo, , , , ,0,0,CL 129-KR 53 02,",Bogota,Colombia","CL 129-KR 53 02,Bogota,Colombia",CL,129, , ,KR,53, , ,SUBA,12/31/1899 09:30:00 AM,Interseccion,Normal,0,0,DESOBEDECER SEÑALES, 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA BOYACA-CL 6B 02,",Bogota,Colombia","AV AVENIDA BOYACA-CL 6B 02,Bogota,Colombia",AV,AVENIDA BOYACA, , ,CL,6,B, ,KENNEDY,12/31/1899 09:00:00 PM,Tramo de Via,Normal,0,0, , 
Choque,Vehiculo, , , , ,0,0,KR 30-CL 53 02,",Bogota,Colombia","KR 30-CL 53 02,Bogota,Colombia",KR,30, , ,CL,53, , ,TEUSAQUILLO,12/31/1899 07:30:00 AM,Tramo de Via,Normal,0,0, ,OTRA
Choque,Vehiculo, , , , ,0,0,KR 70-CL 25B 02,",Bogota,Colombia","KR 70-CL 25B 02,Bogota,Colombia",KR,70, , ,CL,25,B, ,FONTIBON,12/31/1899 05:40:00 AM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-AV AVENIDA DE LAS AMERICAS 02,",Bogota,Colombia","AV AVENIDA CIUDAD DE CALI-AV AVENIDA DE LAS AMERICAS 02,Bogota,Colombia",AV,AVENIDA CIUDAD DE CALI, , ,AV,, , ,KENNEDY,12/31/1899 05:25:00 AM,Glorieta,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,KR 4-CL 91 02,",Bogota,Colombia","KR 4-CL 91 02,Bogota,Colombia",KR,4, , ,CL,91, , ,CHAPINERO,12/31/1899 02:00:00 PM,Interseccion,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,CL 100-KR 45 02,",Bogota,Colombia","CL 100-KR 45 02,Bogota,Colombia",CL,100, , ,KR,45, , ,USAQUEN,12/31/1899 05:45:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,CL 59-KR 78 S 02,",Bogota,Colombia","CL 59-KR 78 S 02,Bogota,Colombia",CL,59, ,S,KR,78, , ,BOSA,12/31/1899 04:38:00 PM,Tramo de Via,Normal,0,0,NO UTILIZAR - GIRAR BRUSCAMENTE,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,CL 132-KR 107B 02,",Bogota,Colombia","CL 132-KR 107B 02,Bogota,Colombia",CL,132, , ,KR,107,B, ,SUBA,12/31/1899 10:50:00 PM,Interseccion,Normal,0,0, ,ADELANTAR INVADIENDO VIA
Choque,Vehiculo, , , , ,0,0,CL 24-KR 118A 02,",Bogota,Colombia","CL 24-KR 118A 02,Bogota,Colombia",CL,24, , ,KR,118,A, ,FONTIBON,12/31/1899 06:25:00 PM,Tramo de Via,Normal,0,0,ARRANCAR SIN PRECAUCION, 
Choque,Vehiculo, , , , ,0,0,KR 9-CL 168 02,",Bogota,Colombia","KR 9-CL 168 02,Bogota,Colombia",KR,9, , ,CL,168, , ,USAQUEN,12/31/1899 04:30:00 PM,Tramo de Via,Normal,0,0,OTRA,OTRA
Choque,Objeto Fijo,6,Inmueble, , ,0,0,KR 68-CL 55 65,",Bogota,Colombia","KR 68-CL 55 65,Bogota,Colombia",KR,68, , ,CL,55, , ,ENGATIVA,12/31/1899 01:52:00 AM,Tramo de Via,Normal,0,0,EXCESO DE VELOCIDAD, 
Choque,Vehiculo, , , , ,0,0,AC 17-KR 123 04,",Bogota,Colombia","AC 17-KR 123 04,Bogota,Colombia",AC,17, , ,KR,123, , ,FONTIBON,12/31/1899 02:40:00 PM,Tramo de Via,Normal,0,0, ,ADELANTAR CERRANDO
Choque,Vehiculo, , , , ,0,0,KR 13-CL 49 55,",Bogota,Colombia","KR 13-CL 49 55,Bogota,Colombia",KR,13, , ,CL,49, , ,CHAPINERO,12/31/1899 05:30:00 PM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,DG 70-AK 70 02,",Bogota,Colombia","DG 70-AK 70 02,Bogota,Colombia",DG,70, , ,AK,70, , ,USAQUEN,12/31/1899 10:00:00 PM,Tramo de Via,Normal,0,0,OTRA,OTRA
Choque,Vehiculo, , , , ,0,0,AC 19-KR 25 02,",Bogota,Colombia","AC 19-KR 25 02,Bogota,Colombia",AC,19, , ,KR,25, , ,LOS MARTIRES,12/31/1899 08:00:00 AM,Tramo de Via,Normal,0,0, ,REVERSO IMPRUDENTE
