ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,",Bogota , colombia",dir,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos,CausaConductorIDesc,CausaConductorIIDesc
Choque,Vehiculo, , , , ,0,0,AV AVENIDA DEL SUR-KR 58 38,",Bogota,Colombia","AV AVENIDA DEL SUR-KR 58 38,Bogota,Colombia",AV,AVENIDA DEL SUR, , ,KR,58, , ,KENNEDY,12/31/1899 11:17:00 AM,Tramo de Via,Lluvia,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,KR 30-CL 17 S 48,",Bogota,Colombia","KR 30-CL 17 S 48,Bogota,Colombia",KR,30, , ,CL,17, ,S,ANTONIO NARIÑO,12/31/1899 08:25:00 PM,Tramo de Via,Normal,0,0,OTRA,OTRA
Choque,Vehiculo, , , , ,0,0,KR 45-CL 44 02,",Bogota,Colombia","KR 45-CL 44 02,Bogota,Colombia",KR,45, , ,CL,44, , ,TEUSAQUILLO,12/31/1899 01:10:00 PM,Interseccion,Lluvia,0,0,DESOBEDECER SEÑALES, 
Volcamiento, , , , , ,0,0,AV AVENIDA DEL SUR-CL 65F 02,",Bogota,Colombia","AV AVENIDA DEL SUR-CL 65F 02,Bogota,Colombia",AV,AVENIDA DEL SUR, , ,CL,65,F, ,BOSA,12/31/1899 09:30:00 PM,Tramo de Via,Normal,0,6,EXCESO DE VELOCIDAD, 
Choque,Vehiculo, , , , ,0,0,CL 26-KR 72C S 02,",Bogota,Colombia","CL 26-KR 72C S 02,Bogota,Colombia",CL,26, ,S,KR,72,C, ,KENNEDY,12/31/1899 02:40:00 PM,Interseccion,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,KR 88F-CL 38C S 02,",Bogota,Colombia","KR 88F-CL 38C S 02,Bogota,Colombia",KR,88,F, ,CL,38,C,S,KENNEDY,12/31/1899 05:00:00 PM,Interseccion,Normal,0,0, ,DESOBEDECER SEÑALES
Choque,Vehiculo, , , , ,0,0,TR 74-CL 40 S 02,",Bogota,Colombia","TR 74-CL 40 S 02,Bogota,Colombia",TR,74, , ,CL,40, ,S,KENNEDY,12/31/1899 09:00:00 AM,Tramo de Via,Normal,0,0,ADELANTAR INVADIENDO VIA, 
Choque,Vehiculo, , , , ,0,0,AK 30-CL 3 02,",Bogota,Colombia","AK 30-CL 3 02,Bogota,Colombia",AK,30, , ,CL,3, , ,LOS MARTIRES,12/31/1899 05:00:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Objeto Fijo,2,Poste, , ,0,0,CL 132D-KR 141A 02,",Bogota,Colombia","CL 132D-KR 141A 02,Bogota,Colombia",CL,132,D, ,KR,141,A, ,SUBA,12/31/1899 02:15:00 AM,Tramo de Via,Normal,0,2,DEFECTOS FISICOS Y PSIQUICOS, 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-CL 6 02,",Bogota,Colombia","AV AVENIDA CIUDAD DE CALI-CL 6 02,Bogota,Colombia",AV,AVENIDA CIUDAD DE CALI, , ,CL,6, , ,KENNEDY,12/31/1899 03:30:00 PM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Otro, , , , ,0,0,CL 73-KR 11 02,",Bogota,Colombia","CL 73-KR 11 02,Bogota,Colombia",CL,73, , ,KR,11, , ,CHAPINERO,12/31/1899 02:20:00 AM,Tramo de Via,Lluvia,0,0, , 
Choque,Vehiculo, , , , ,0,0,KR 30-CL 28 S 02,",Bogota,Colombia","KR 30-CL 28 S 02,Bogota,Colombia",KR,30, , ,CL,28, ,S,ANTONIO NARIÑO,12/31/1899 07:15:00 AM,Tramo de Via,Normal,0,1, ,NO MANTENER DISTANCIA DE SEGURIDAD
Atropello, , , , , ,0,0,CL 132D-KR 126 21,",Bogota,Colombia","CL 132D-KR 126 21,Bogota,Colombia",CL,132,D, ,KR,126, , ,USAQUEN,12/31/1899 04:00:00 PM,Tramo de Via,Normal,0,2,OTRA, 
Choque,Vehiculo, , , , ,0,0,KR 6-CL 6 02,",Bogota,Colombia","KR 6-CL 6 02,Bogota,Colombia",KR,6, , ,CL,6, , ,SANTA FE,12/31/1899 10:00:00 AM,Tramo de Via,Normal,0,2, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,KR 68-CL 79D 02,",Bogota,Colombia","KR 68-CL 79D 02,Bogota,Colombia",KR,68, , ,CL,79,D, ,BARRIOS UNIDOS,12/31/1899 03:56:00 PM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,KR 14-CL 72 S 02,",Bogota,Colombia","KR 14-CL 72 S 02,Bogota,Colombia",KR,14, , ,CL,72, ,S,USME,12/31/1899 03:30:00 PM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,CL 80-KR 94 S 21,",Bogota,Colombia","CL 80-KR 94 S 21,Bogota,Colombia",CL,80, ,S,KR,94, , ,BOSA,12/31/1899 09:30:00 AM,Tramo de Via,Normal,0,0, ,ADELANTAR INVADIENDO VIA
